V8,V9,V10,USE_CMS,USE_TMS,USE_STMS,USE_ITS,USE_SWC,USE_LRS,USE_LIAC,USE_LLC,USE_OLC,USE_LSG,USE_LC,USE_LEC,USE_ILL,USE_LDB,USE_FPC,USE_CCL,USE_IR,USE_LCS,USE_PCR,USE_WALC,USE_EMS,USE_VPN,USE_AORO,USE_ERPSS,USE_CWS,USE_LWS,IMP_CMS,IMP_CMSS,IMP_TMS,IMP_STMS,IMP_ITS,IMP_SDAV,IMP_SWC,IMP_LRS,IMP_LIAC,IMP_LLC,IMP_LSSR,IMP_TSSR,IMP_LSSSR,IMP_TSSSR,IMP_SSCN,IMP_OLC,IMP_LSG,IMP_LC,IMP_LEC,IMP_ILL,IMP_LDB,IMP_FPC,IMP_CFCPS,IMP_SICP,IMP_SDB,IMP_CCL,IMP_IR,IMP_LCS,IMP_PCR,IMP_AWAC,IMP_PWAC,IMP_EMS,IMP_EMSF,IMP_VP,IMP_VPN,IMP_AORO,IMP_ERPSS,IMP_CWS,IMP_LWS,IMP_SII,IMP_ICDA,IMP_OCS,IMP_OLS,DS_CMS,DS_CMSS,DS_TMS,DS_STMS,DS_ITS,DS_SDAV,DS_SWC,DS_LRS,DS_LIAC,DS_LLC,DS_LSSR,DS_TSSR,DS_LSSSR,DS_TSSSR,DS_SSCN,DS_OLC,DS_LSG,DS_LC,DS_LEC,DS_ILL,DS_LDB,DS_FPC,DS_CFCPS,DS_SICP,DS_SDB,DS_CCL,DS_IR,DS_LCS,DS_PCR,DS_AWAC,DS_PWAC,DS_EMS,DS_EMSF,DS_VP,DS_VPN,DS_AORO,DS_ERPSS,DS_CWS,DS_LWS,DS_ICDA,DS_OCS,DS_OLS,INF_ATS,INF_ALS,INF_CDCN,INF_CERPS,INF_CITN,INF_CLN,INF_SSD,DAHD_F,DAHD_K,DAHD_RL,DAHD_RS,DAERPS_F,DAERPS_K,DAERPS_RL,DAERPS_RS,DALC_F,DALC_K,DALC_RL,DALC_RS,DALR_F,DALR_K,DALR_RL,DALR_RS,DAIT_F,DAIT_K,DAIT_RL,DAIT_RS,DAASC_F,DAASC_K,DAASC_RL,DAASC_RS,DAMMS_F,DAMMS_K,DAMMS_RL,DAMMS_RS,AP_CMS,UAP_IOUC,UAP_LC,UAP_OQ,OWN_LC,OWN_PDA,OWN_EBR,OWN_T,SKL_CMS,SKL_TMS,LRN_ERP,LRN_CMS,LRN_TMS,LRN_LDB,LRN_WP,LRN_SS,LRN_PP,LRN_WCT,LRN_G,LRN_V,LRN_OS,LRN_BUD,LRN_PIRO,LRN_OOO,LRN_WTS,LRN_SDD,LRN_SDOT,LRN_TE,Q23,YRS,FTIME,RANK,RANK_TEXT,TEN,ADIV,SEX,SEX_TEXT,AGE,RACE5_1,RACE5_2,RACE5_3,RACE5_4,RACE5_5,RACE5_6,HISP,COMMENT
StartDate,EndDate,Finished,"Over the course of a semester, on average, how often do you use the following services?-Blackboard Learn","Over the course of a semester, on average, how often do you use the following services?-Technology in meeting spaces/classrooms","Over the course of a semester, on average, how often do you use the following services?-Support for technology in meeting spaces/classrooms","Over the course of a semester, on average, how often do you use the following services?-Instructional technology support","Over the course of a semester, on average, how often do you use the following services?-Web conferencing (e.g. Skype, Adobe Connect, ZoomRoom)","Over the course of a semester, on average, how often do you use the following services?-Library reference/research services","Over the course of a semester, on average, how often do you use the following services?-Library research instruction for academic courses","Over the course of a semester, on average, how often do you use the following services?-Embedded Librarian /Liaison","Over the course of a semester, on average, how often do you use the following services?-Minuteman online library catalog","Over the course of a semester, on average, how often do you use the following services?-Library subject guide/Lib guides","Over the course of a semester, on average, how often do you use the following services?-Physical library collections","Over the course of a semester, on average, how often do you use the following services?-Library e-book collections","Over the course of a semester, on average, how often do you use the following services?-Interlibrary loan","Over the course of a semester, on average, how often do you use the following services?-Library databases (e.g. JSTOR)","Over the course of a semester, on average, how often do you use the following services?-Technology Resource Center (Helpdesk)","Over the course of a semester, on average, how often do you use the following services?-Campus computing labs","Over the course of a semester, on average, how often do you use the following services?-FSU Digital Commons/Selected Works","Over the course of a semester, on average, how often do you use the following services?-Library circulation services","Over the course of a semester, on average, how often do you use the following services?-Physical course reserves","Over the course of a semester, on average, how often do you use the following services?-Wireless access to the Internet on campus","Over the course of a semester, on average, how often do you use the following services?-E-mail services","Over the course of a semester, on average, how often do you use the following services?-VPN","Over the course of a semester, on average, how often do you use the following services?-Access to online resources from off-campus","Over the course of a semester, on average, how often do you use the following services?-MyFramingham Faculty Dashboard","Over the course of a semester, on average, how often do you use the following services?-ITS Web site","Over the course of a semester, on average, how often do you use the following services?-Library Web site (e.g. library hours, policies)",How important are these services to you?-Blackboard Learn,How important are these services to you?-Blackboard Learn support,How important are these services to you?-Technology in meeting spaces/classrooms,How important are these services to you?-Support for technology in meeting spaces/classrooms,How important are these services to you?-Instructional technology support,How important are these services to you?-Support for digital audio/video creation,"How important are these services to you?-Web conferencing (e.g. Skype, Adobe Connect, ZoomRoom)",How important are these services to you?-Library reference/research services,How important are these services to you?-Library research instruction for academic courses,How important are these services to you?-Embedded Librarian /Liaison,How important are these services to you?-Library support for your scholarly research,How important are these services to you?-Technology support for your scholarly research,How important are these services to you?-Library support for your students' scholarly research,How important are these services to you?-Technology support for your students' scholarly research,How important are these services to you?-Support for your specialized computing needs,How important are these services to you?-Minuteman online library catalog,How important are these services to you?-Library subject guide/Lib guides,How important are these services to you?-Physical library collections,How important are these services to you?-Library e-book collections,How important are these services to you?-Interlibrary loan,How important are these services to you?-Library databases (e.g. JSTOR),How important are these services to you?-Technology Resource Center (Helpdesk),How important are these services to you?-Technology Resource Center (Helpdesk) schedule,How important are these services to you?-Status information on computing problems,How important are these services to you?-Support for data backup,How important are these services to you?-Campus computing labs,How important are these services to you?-FSU Digital Commons/Selected Works,How important are these services to you?-Library circulation services,How important are these services to you?-Physical course reserves,How important are these services to you?-Availability of wireless access on campus,How important are these services to you?-Performance of wireless access on campus,How important are these services to you?-E-mail services,How important are these services to you?-E-mail SPAM filtering,How important are these services to you?-Virus/malware protection,How important are these services to you?-VPN,How important are these services to you?-Access to online resources from off-campus,How important are these services to you?-MyFramingham Faculty Dashboard,How important are these services to you?-ITS Web site,"How important are these services to you?-Library Web site (e.g. library hours, policies)",How important are these services to you?-Support for your innovative ideas,How important are these services to you?-Your input into computing decisions that affect you,How important are these services to you?-Overall computing service,How important are these services to you?-Overall library service,How dissatisfied or satisfied are you with the following resources and services?-Blackboard Learn,How dissatisfied or satisfied are you with the following resources and services?-Blackboard Learn support,How dissatisfied or satisfied are you with the following resources and services?-Technology in meeting spaces/classrooms,How dissatisfied or satisfied are you with the following resources and services?-Support for technology in meeting spaces/classrooms,How dissatisfied or satisfied are you with the following resources and services?-Instructional technology support,How dissatisfied or satisfied are you with the following resources and services?-Support for digital audio/video creation,"How dissatisfied or satisfied are you with the following resources and services?-Web conferencing (e.g. Skype, Adobe Connect, ZoomRoom)",How dissatisfied or satisfied are you with the following resources and services?-Library reference/research services,How dissatisfied or satisfied are you with the following resources and services?-Library research instruction for academic courses,How dissatisfied or satisfied are you with the following resources and services?-Embedded Librarian /Liaison,How dissatisfied or satisfied are you with the following resources and services?-Library support for your scholarly research,How dissatisfied or satisfied are you with the following resources and services?-Technology support for your scholarly research,How dissatisfied or satisfied are you with the following resources and services?-Library support for your students' scholarly research,How dissatisfied or satisfied are you with the following resources and services?-Technology support for your students' scholarly research,How dissatisfied or satisfied are you with the following resources and services?-Support for your specialized computing needs,How dissatisfied or satisfied are you with the following resources and services?-Minuteman online library catalog,How dissatisfied or satisfied are you with the following resources and services?-Library subject guide/Lib guides,How dissatisfied or satisfied are you with the following resources and services?-Physical library collections,How dissatisfied or satisfied are you with the following resources and services?-Library e-book collections,How dissatisfied or satisfied are you with the following resources and services?-Interlibrary loan,How dissatisfied or satisfied are you with the following resources and services?-Library databases (e.g. JSTOR),How dissatisfied or satisfied are you with the following resources and services?-Technology Resource Center (Helpdesk),How dissatisfied or satisfied are you with the following resources and services?-Technology Resource Center (Helpdesk) schedule,How dissatisfied or satisfied are you with the following resources and services?-Status information on computing problems,How dissatisfied or satisfied are you with the following resources and services?-Support for data backup,How dissatisfied or satisfied are you with the following resources and services?-Campus computing labs,How dissatisfied or satisfied are you with the following resources and services?-FSU Digital Commons/Selected Works,How dissatisfied or satisfied are you with the following resources and services?-Library circulation services,How dissatisfied or satisfied are you with the following resources and services?-Physical course reserves,How dissatisfied or satisfied are you with the following resources and services?-Availability of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services?-Performance of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services?-E-mail services,How dissatisfied or satisfied are you with the following resources and services?-E-mail SPAM filtering,How dissatisfied or satisfied are you with the following resources and services?-Virus/malware protection,How dissatisfied or satisfied are you with the following resources and services?-VPN,How dissatisfied or satisfied are you with the following resources and services?-Access to online resources from off-campus,How dissatisfied or satisfied are you with the following resources and services?-MyFramingham Faculty Dashboard,How dissatisfied or satisfied are you with the following resources and services?-ITS Web site,"How dissatisfied or satisfied are you with the following resources and services?-Library Web site (e.g. library hours, policies)",How dissatisfied or satisfied are you with the following resources and services?-Your input into computing decisions that affect you,How dissatisfied or satisfied are you with the following resources and services?-Overall computing service,How dissatisfied or satisfied are you with the following resources and services?-Overall library service,How informed do you feel you are about the following?-Available technology services,How informed do you feel you are about the following?-Available library services,How informed do you feel you are about the following?-Who to contact for your desktop/laptop computing needs,How informed do you feel you are about the following?-Who to contact for your MyFramingham Faculty Dashboard needs,How informed do you feel you are about the following?-Who to contact for your instructional technology needs,How informed do you feel you are about the following?-Who to contact for your library needs,How informed do you feel you are about the following?-Scheduled system downtime,How strongly do you disagree or agree with the following statements with regard to the Technology...-Friendly,How strongly do you disagree or agree with the following statements with regard to the Technology...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the Technology...-Reliable,How strongly do you disagree or agree with the following statements with regard to the Technology...-Responsive,How strongly do you disagree or agree with the following statements with regard to the MyFramingh...-Friendly,How strongly do you disagree or agree with the following statements with regard to the MyFramingh...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the MyFramingh...-Reliable,How strongly do you disagree or agree with the following statements with regard to the MyFramingh...-Responsive,How strongly do you disagree or agree with the following statements with regard to the library circu...-Friendly,How strongly do you disagree or agree with the following statements with regard to the library circu...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the library circu...-Reliable,How strongly do you disagree or agree with the following statements with regard to the library circu...-Responsive,How strongly do you disagree or agree with the following statements with regard to the library re...-Friendly,How strongly do you disagree or agree with the following statements with regard to the library re...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the library re...-Reliable,How strongly do you disagree or agree with the following statements with regard to the library re...-Responsive,How strongly do you disagree or agree with the following statements with regard to the instructio...-Friendly,How strongly do you disagree or agree with the following statements with regard to the instructio...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the instructio...-Reliable,How strongly do you disagree or agree with the following statements with regard to the instructio...-Responsive,How strongly do you disagree or agree with the following statements with regard to the archives/spec...-Friendly,How strongly do you disagree or agree with the following statements with regard to the archives/spec...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the archives/spec...-Reliable,How strongly do you disagree or agree with the following statements with regard to the archives/spec...-Responsive,How strongly do you disagree or agree with the following statements with regard to the Classroom...-Friendly,How strongly do you disagree or agree with the following statements with regard to the Classroom...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the Classroom...-Reliable,How strongly do you disagree or agree with the following statements with regard to the Classroom...-Responsive,"How do you use the following tools, if at all?-Citation management software",Do you use the following tools for academic purposes?-Instructor-organized use of computers in the classroom,Do you use the following tools for academic purposes?-Lecture capturing,Do you use the following tools for academic purposes?-Online quizzes,Do you personally own the following devices?-Laptop/Notebook computer,"Do you personally own the following devices?-Smart phone (e.g. Android, iPhone, Windows phone)","Do you personally own the following devices?-E-book reader (e.g. Kindle, nook)","Do you personally own the following devices?-Tablet (e.g. iPad, Galaxy, Kindle Fire)",How would you describe your skill level with the following?-Blackboard Learn,How would you describe your skill level with the following?-Technology in meeting spaces/classrooms,How interested are you in learning more about the following?-MyFramingham Faculty Dashboard,How interested are you in learning more about the following?-Blackboard Learn,How interested are you in learning more about the following?-Technology in meeting spaces/classrooms,How interested are you in learning more about the following?-Library databases (e.g. JSTOR),How interested are you in learning more about the following?-Word processing software,How interested are you in learning more about the following?-Spreadsheet software,"How interested are you in learning more about the following?-Presentation software (e.g. PowerPoint, Prezi)","How interested are you in learning more about the following?-Web content tools (e.g. wikis, blogs, content management system)","How interested are you in learning more about the following?-Graphics software (e.g. Photoshop, Elements)","How interested are you in learning more about the following?-Audio/video editing software (e.g. iMovie, Premiere)","How interested are you in learning more about the following?-Your primary Operating System (e.g. Mac OS, Windows, Linux)",How interested are you in learning more about the following?-Backing up data,How interested are you in learning more about the following?-Protecting your identity and reputation online,How interested are you in learning new technical or research skills by the following methods?-One-on-one instruction,How interested are you in learning new technical or research skills by the following methods?-Workshop/Training Session,How interested are you in learning new technical or research skills by the following methods?-Self-directed with documentation,How interested are you in learning new technical or research skills by the following methods?-Self-directed with online tutorial,How interested are you in learning new technical or research skills by the following methods?-Trial and error,"In this section we will ask some information about you including age, gender, and race. The prima...",What year did you begin at Framingham State?,Are you considered a full-time employee of Framingham State for at least nine months of the curre...,What is your rank?,What is your rank?-TEXT,What is your tenure status?,What is your primary academic division?,What is your gender?,What is your gender?-TEXT,What is your age?,What is your race? (Please check all that apply)-White,What is your race? (Please check all that apply)-Black or African American,What is your race? (Please check all that apply)-Asian,What is your race? (Please check all that apply)-American Indian or Alaska Native,What is your race? (Please check all that apply)-Native Hawaiian or Other Pacific Islander,What is your race? (Please check all that apply)-Other,"Are you of Hispanic, Latino, or Spanish origin?",Do you have any additional comments or suggestions?
2/8/2018 8:19,2/8/2018 8:30,1,5,4,3,2,1,1,2,2,4,4,2,2,3,4,3,1,1,1,2,5,5,3,4,4,1,1,4,4,4,4,3,3,2,2,2,4,4,4,4,4,3,9,3,3,4,3,4,4,3,4,4,4,2,2,2,4,4,4,4,4,3,4,4,3,2,4,4,4,4,3,3,2,3,4,4,9,3,3,4,4,4,4,4,4,9,3,3,3,3,4,3,3,3,4,2,9,4,4,1,1,4,2,3,4,4,3,4,3,3,3,3,4,3,3,2,4,2,3,3,3,3,2,9,9,9,9,4,4,4,4,9,9,9,9,4,4,4,4,9,9,9,9,4,3,3,4,9,1,0,1,1,1,1,1,4,3,2,3,3,3,3,3,3,3,3,3,3,-99,3,2,2,3,3,2,1,1989,1,4,,3,52200,1,,62.5,1,0,0,0,0,0,-99,
2/8/2018 8:20,2/8/2018 8:30,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,3,3,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,4,2,4,3,1,1,1,1,4,4,4,4,4,1,4,4,3,1,1,3,4,1,4,4,-99,9,9,9,9,9,9,9,9,9,9,9,4,9,9,9,9,9,9,4,4,4,4,9,9,9,9,4,4,4,4,4,9,4,4,4,9,9,4,9,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-99,4,4,4,4,9,0,0,1,1,1,0,0,5,5,4,4,1,1,4,4,4,4,4,1,4,4,4,1,1,1,1,1,1,2017,0,5,visiting professor,1,45700,2,,62.5,1,0,0,0,0,0,0,
2/8/2018 8:21,2/8/2018 8:36,1,5,5,2,2,2,2,1,1,2,2,2,2,2,4,2,1,1,2,2,5,5,1,5,5,3,3,4,4,4,4,3,3,3,4,2,2,4,4,4,4,3,3,4,3,3,4,4,4,4,4,2,2,2,3,3,4,4,4,3,3,2,4,4,3,3,3,3,4,4,4,3,3,4,4,3,2,4,4,9,4,3,2,1,1,3,4,4,3,4,4,3,3,3,3,9,3,4,4,2,2,4,4,3,2,4,4,2,2,2,2,3,2,3,3,2,3,3,3,3,2,2,1,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,9,9,9,9,3,3,3,3,1,1,0,1,1,1,1,1,4,4,3,2,2,2,2,1,1,2,2,2,1,-99,1,3,3,3,3,3,1,2011,1,3,,3,52200,2,,37.5,1,0,0,0,0,0,0,"Would love to see greater access for faculty and students to computer resources relevant to the social sciences (e.g. STATA, Qualtrics - on which this survey is designed)."
2/8/2018 8:21,2/8/2018 8:37,1,-99,4,1,1,1,2,1,1,5,1,2,1,4,2,3,1,1,2,1,5,5,1,3,5,2,2,3,3,2,2,2,2,1,4,1,1,1,2,3,3,1,4,9,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,9,4,4,3,3,4,3,4,4,3,4,9,9,9,9,9,4,9,9,9,9,4,9,9,4,9,3,3,4,3,2,9,3,9,9,9,4,9,1,1,2,1,2,9,3,-99,2,9,2,1,4,2,3,2,2,2,3,2,4,2,2,3,9,9,9,9,4,3,3,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,0,1,0,1,3,3,1,1,1,2,1,1,2,1,3,3,2,4,3,3,3,2,2,1,1,2006,1,3,,3,20100,2,,57.5,1,0,0,0,0,0,0,"Outlook needs to provide more space. Mailboxes fill up quickly and we spend valuable time deleting emails to make room. Also, the Wifi on campus is unreliable, sometimes cutting out while using web resources in class."
2/8/2018 8:30,2/8/2018 8:43,1,2,1,1,2,1,4,2,2,3,2,1,1,1,4,3,1,1,1,1,5,-99,1,1,5,3,1,2,1,4,4,3,1,1,3,4,-99,4,4,4,4,4,3,2,2,2,2,4,4,4,4,4,1,1,1,2,4,4,4,4,4,-99,4,4,4,2,4,3,3,3,4,4,3,3,9,9,9,3,4,4,1,1,2,2,4,4,9,4,3,3,3,4,4,4,2,9,9,9,4,4,4,2,2,3,9,3,4,3,9,3,4,4,2,2,2,2,2,2,2,4,3,2,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,3,3,1,0,0,0,1,1,0,1,2,2,2,3,3,3,1,1,1,1,1,1,3,4,4,3,3,1,1,3,1,2011,1,3,,3,45700,2,,37.5,1,0,0,0,0,0,0,
2/8/2018 8:21,2/8/2018 8:48,1,3,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,3,2,1,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,3,2,3,3,4,3,3,3,2,2,2,2,3,2,3,3,4,4,4,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9,9,4,4,4,9,9,9,9,9,4,4,4,4,4,9,9,4,4,9,4,4,4,2,2,2,1,2,1,1,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,4,4,4,4,9,9,9,9,9,9,9,9,9,0,0,-99,1,1,0,0,3,1,2,2,2,1,2,2,3,1,1,1,2,2,3,2,1,2,2,1,1,2014,0,1,,1,52200,2,,77.5,1,0,0,0,0,0,0,
2/8/2018 8:36,2/8/2018 8:50,1,4,3,2,1,1,2,2,2,3,2,2,3,2,2,2,1,1,2,1,5,5,1,5,5,2,3,3,3,4,4,1,1,1,3,3,3,2,1,3,2,1,3,2,2,3,4,4,2,2,4,3,2,1,3,1,4,4,4,3,4,9,4,2,2,2,3,3,4,4,3,3,3,3,3,9,2,3,9,4,4,3,4,4,4,3,4,4,3,4,4,4,4,4,9,4,9,4,9,3,3,4,3,3,9,4,4,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,1,1,0,1,0,1,1,1,3,3,2,2,2,2,1,1,2,1,1,1,1,2,2,2,2,3,3,2,1,1995,1,4,,3,52200,2,,57.5,1,0,0,0,0,0,0,
2/8/2018 8:30,2/8/2018 8:55,1,5,-99,1,2,1,2,3,1,2,2,2,1,1,1,3,1,1,2,1,4,5,1,5,5,2,2,4,3,2,2,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,4,3,3,4,3,9,9,9,9,9,3,9,9,-99,3,3,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,-99,4,4,4,4,9,4,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,1,0,1,1,1,1,1,4,2,1,1,3,2,3,1,4,3,3,3,2,2,4,3,3,4,4,3,1,2013,0,1,,1,52200,1,,47.5,1,0,0,0,0,0,0,
2/8/2018 8:49,2/8/2018 9:11,1,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,1,5,1,1,2,2,4,3,3,3,3,2,2,1,2,2,3,4,2,2,3,3,3,1,1,4,3,3,1,3,2,2,2,4,4,4,4,4,1,3,4,3,3,3,2,3,3,9,9,1,1,1,2,1,3,3,2,9,9,3,3,2,9,9,3,3,9,9,2,2,2,9,9,9,9,3,3,3,3,3,4,9,9,4,9,3,9,3,3,1,1,2,2,2,2,1,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,3,3,3,3,9,9,9,-99,9,9,9,9,9,1,1,0,1,1,0,1,3,3,2,2,3,2,1,4,2,3,2,1,2,2,4,2,1,2,2,1,1,2012,0,1,,1,52200,2,,62.5,1,0,0,0,0,0,0,"The presentation technology in the classroom is functional and students have internet access for research.  However, I have not seen an upgrade to any classroom equipment during my 10+ years of experience lecturing at FSU. / Many classes still have blackboards and chalk.  I do not get a sense that technology is important from being in the classroom."
