V8,V9,V10,USE_CMS,USE_TMS,USE_STMS,USE_SWC,USE_LEC,USE_ILL,USE_LDB,USE_FPC,USE_LCS,USE_BL,USE_WALC,USE_WN,USE_EMS,USE_VPN,USE_AORO,USE_ERPSS,USE_CWS,USE_LWS,USE_LOC1,USE_LOC2,IMP_CMS,IMP_CMSS,IMP_TMS,IMP_STMS,IMP_SWC,IMP_CS,IMP_SSCN,IMP_LC,IMP_LEC,IMP_ILL,IMP_LDB,IMP_FPC,IMP_CFCPS,IMP_SICP,IMP_SDB,IMP_BL,IMP_AWAC,IMP_PWAC,IMP_WN,IMP_EMS,IMP_EMSF,IMP_VP,IMP_VPN,IMP_AORO,IMP_ERPSS,IMP_SERPP,IMP_CWS,IMP_LWS,IMP_ICDA,IMP_OCS,IMP_OLS,IMP_LOC1,IMP_LOC2,DS_CMS,DS_CMSS,DS_TMS,DS_STMS,DS_SWC,DS_SSCN,DS_LC,DS_LEC,DS_ILL,DS_LDB,DS_FPC,DS_CFCPS,DS_SICP,DS_SDB,DS_LCS,DS_BL,DS_AWAC,DS_PWAC,DS_WN,DS_EMS,DS_EMSF,DS_VP,DS_VPN,DS_AORO,DS_ERPSS,DS_SERPP,DS_CWS,DS_LWS,DS_ICDA,DS_OCS,DS_OLS,DS_LOC1,DS_LOC2,INF_ATS,INF_ALS,INF_PI,INF_CVS,INF_IS,INF_CDCN,INF_CERPS,INF_CCFUN,INF_CLN,INF_SSD,DAHD_F,DAHD_K,DAHD_RL,DAHD_RS,DAERPS_F,DAERPS_K,DAERPS_RL,DAERPS_RS,DALC_F,DALC_K,DALC_RL,DALC_RS,DALR_F,DALR_K,DALR_RL,DALR_RS,DAASC_F,DAASC_K,DAASC_RL,DAASC_RS,DAMMS_F,DAMMS_K,DAMMS_RL,DAMMS_RS,SKL_ERP,SKL_CMS,SKL_TMS,SKL_LDB,SKL_WP,SKL_SS,SKL_PP,SKL_OS,SKL_BUD,SKL_LOC1,SKL_PIRO,SKL_LOC2,LRN_ERP,LRN_CMS,LRN_TMS,LRN_WP,LRN_SS,LRN_PP,LRN_G,LRN_OS,LRN_BUD,LRN_ACP,LRN_SCP,LRN_PIRO,LRN_LOC1,LRN_LOC2,LRN_OOO,LRN_WTS,LRN_SDD,LRN_SDOT,LRN_TE,Q23,YRS,FTIME,OCC,SEX,SEX_TEXT,AGE,RACE5_1,RACE5_2,RACE5_3,RACE5_4,RACE5_5,RACE5_6,HISP,COMMENT
StartDate,EndDate,Finished,"Over the course of a semester, on average, how often do you use the following services?-Blackboard Learn","Over the course of a semester, on average, how often do you use the following services?-Technology in meeting spaces/classrooms","Over the course of a semester, on average, how often do you use the following services?-Support for technology in meeting spaces/classrooms","Over the course of a semester, on average, how often do you use the following services?-Web conferencing (e.g. Skype, Adobe Connect, Zoom, Blackboard Collaborate)","Over the course of a semester, on average, how often do you use the following services?-Library e-book collections","Over the course of a semester, on average, how often do you use the following services?-Interlibrary loan","Over the course of a semester, on average, how often do you use the following services?-Library databases (e.g. JSTOR)","Over the course of a semester, on average, how often do you use the following services?-Technology Resource Center (Service Desk)","Over the course of a semester, on average, how often do you use the following services?-Library circulation services","Over the course of a semester, on average, how often do you use the following services?-Borrowing laptops","Over the course of a semester, on average, how often do you use the following services?-Wireless access to the Internet on campus","Over the course of a semester, on average, how often do you use the following services?-The wired network on campus","Over the course of a semester, on average, how often do you use the following services?-E-mail services","Over the course of a semester, on average, how often do you use the following services?-FSU VPN /GotoMyPC","Over the course of a semester, on average, how often do you use the following services?-Access to online resources from off-campus","Over the course of a semester, on average, how often do you use the following services?-MyFramingham","Over the course of a semester, on average, how often do you use the following services?-ITS Web site","Over the course of a semester, on average, how often do you use the following services?-Library Web site (e.g. library hours, policies)","Over the course of a semester, on average, how often do you use the following services?-Banner","Over the course of a semester, on average, how often do you use the following services?-Banner related ancillary systems (Argos, Workflow, Degreeworks, Xtender)",How important are these services to you?-Blackboard Learn,How important are these services to you?-Blackboard Learn support,How important are these services to you?-Technology in meeting spaces/classrooms,How important are these services to you?-Support for technology in meeting spaces/classrooms,"How important are these services to you?-Web conferencing (e.g. Skype, Adobe Connect, Zoom, Blackboard Collaborate)",How important are these services to you?-Online collaborative software (e.g. Office 365),How important are these services to you?-Support for your specialized computing needs,How important are these services to you?-Physical library collections,How important are these services to you?-Library e-book collections,How important are these services to you?-Interlibrary loan,How important are these services to you?-Library databases (e.g. JSTOR),How important are these services to you?-Technology Resource Center (Service Desk),How important are these services to you?-Technology Resource Center (Service Desk) schedule,How important are these services to you?-Status information on computing problems,How important are these services to you?-Support for data backup,How important are these services to you?-Borrowing laptops,How important are these services to you?-Availability of wireless access on campus,How important are these services to you?-Performance of wireless access on campus,How important are these services to you?-The wired network on campus,How important are these services to you?-E-mail services,How important are these services to you?-E-mail SPAM filtering,How important are these services to you?-Virus/malware protection,How important are these services to you?-FSU VPN /GotoMyPC,How important are these services to you?-Access to online resources from off-campus,How important are these services to you?-MyFramingham,How important are these services to you?-Support when you have a MyFramingham problem,How important are these services to you?-ITS Web site,"How important are these services to you?-Library Web site (e.g. library hours, policies)",How important are these services to you?-Your input into computing decisions that affect you,How important are these services to you?-Overall computing service,How important are these services to you?-Overall library service,How important are these services to you?-Banner,"How important are these services to you?-Banner related ancillary systems (Argos, Workflow, Degreeworks, Xtender)",How dissatisfied or satisfied are you with the following resources and services?-Blackboard Learn,How dissatisfied or satisfied are you with the following resources and services?-Blackboard Learn support,How dissatisfied or satisfied are you with the following resources and services?-Technology in meeting spaces/classrooms,How dissatisfied or satisfied are you with the following resources and services?-Support for technology in meeting spaces/classrooms,"How dissatisfied or satisfied are you with the following resources and services?-Web conferencing (e.g. Skype, Adobe Connect, Zoom, Blackboard Collaborate)",How dissatisfied or satisfied are you with the following resources and services?-Support for your specialized computing needs,How dissatisfied or satisfied are you with the following resources and services?-Physical library collections,How dissatisfied or satisfied are you with the following resources and services?-Library e-book collections,How dissatisfied or satisfied are you with the following resources and services?-Interlibrary loan,How dissatisfied or satisfied are you with the following resources and services?-Library databases (e.g. JSTOR),How dissatisfied or satisfied are you with the following resources and services?-Technology Resource Center (Service Desk),How dissatisfied or satisfied are you with the following resources and services?-Technology Resource Center (Service Desk) schedule,How dissatisfied or satisfied are you with the following resources and services?-Status information on computing problems,How dissatisfied or satisfied are you with the following resources and services?-Support for data backup,How dissatisfied or satisfied are you with the following resources and services?-Library circulation services,How dissatisfied or satisfied are you with the following resources and services?-Borrowing laptops,How dissatisfied or satisfied are you with the following resources and services?-Availability of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services?-Performance of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services?-The wired network on campus,How dissatisfied or satisfied are you with the following resources and services?-E-mail services,How dissatisfied or satisfied are you with the following resources and services?-E-mail SPAM filtering,How dissatisfied or satisfied are you with the following resources and services?-Virus/malware protection,How dissatisfied or satisfied are you with the following resources and services?-FSU VPN /GotoMyPC,How dissatisfied or satisfied are you with the following resources and services?-Access to online resources from off-campus,How dissatisfied or satisfied are you with the following resources and services?-MyFramingham,How dissatisfied or satisfied are you with the following resources and services?-Support when you have a MyFramingham problem,How dissatisfied or satisfied are you with the following resources and services?-ITS Web site,"How dissatisfied or satisfied are you with the following resources and services?-Library Web site (e.g. library hours, policies)",How dissatisfied or satisfied are you with the following resources and services?-Your input into computing decisions that affect you,How dissatisfied or satisfied are you with the following resources and services?-Overall computing service,How dissatisfied or satisfied are you with the following resources and services?-Overall library service,How dissatisfied or satisfied are you with the following resources and services?-Banner,"How dissatisfied or satisfied are you with the following resources and services?-Banner related ancillary systems (Argos, Workflow, Degreeworks, Xtender)",How informed do you feel you are about the following?-Available technology services,How informed do you feel you are about the following?-Available library services,How informed do you feel you are about the following?-Privacy issues related to technology,How informed do you feel you are about the following?-Current issues regarding computer viruses/malware,How informed do you feel you are about the following?-Current issues regarding information security,How informed do you feel you are about the following?-Who to contact for your desktop/laptop computing needs,How informed do you feel you are about the following?-Who to contact for your MyFramingham needs,How informed do you feel you are about the following?-Who to contact for your copyright and Fair Use needs,How informed do you feel you are about the following?-Who to contact for your library needs,How informed do you feel you are about the following?-Scheduled system downtime,How strongly do you disagree or agree with the following statements with regard to the Technology...-Friendly,How strongly do you disagree or agree with the following statements with regard to the Technology...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the Technology...-Reliable,How strongly do you disagree or agree with the following statements with regard to the Technology...-Responsive,How strongly do you disagree or agree with the following statements with regard to the MyFramingh...-Friendly,How strongly do you disagree or agree with the following statements with regard to the MyFramingh...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the MyFramingh...-Reliable,How strongly do you disagree or agree with the following statements with regard to the MyFramingh...-Responsive,How strongly do you disagree or agree with the following statements with regard to the library circu...-Friendly,How strongly do you disagree or agree with the following statements with regard to the library circu...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the library circu...-Reliable,How strongly do you disagree or agree with the following statements with regard to the library circu...-Responsive,How strongly do you disagree or agree with the following statements with regard to the library re...-Friendly,How strongly do you disagree or agree with the following statements with regard to the library re...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the library re...-Reliable,How strongly do you disagree or agree with the following statements with regard to the library re...-Responsive,How strongly do you disagree or agree with the following statements with regard to the archives/spec...-Friendly,How strongly do you disagree or agree with the following statements with regard to the archives/spec...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the archives/spec...-Reliable,How strongly do you disagree or agree with the following statements with regard to the archives/spec...-Responsive,How strongly do you disagree or agree with the following statements with regard to the multimedia...-Friendly,How strongly do you disagree or agree with the following statements with regard to the multimedia...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the multimedia...-Reliable,How strongly do you disagree or agree with the following statements with regard to the multimedia...-Responsive,How would you describe your skill level with the following?-MyFramingham,How would you describe your skill level with the following?-Blackboard Learn,How would you describe your skill level with the following?-Technology in meeting spaces/classrooms,How would you describe your skill level with the following?-Library databases (e.g. JSTOR),How would you describe your skill level with the following?-Word processing software,How would you describe your skill level with the following?-Spreadsheet software,"How would you describe your skill level with the following?-Presentation software (e.g. PowerPoint, Prezi)","How would you describe your skill level with the following?-Your primary Operating System (e.g. Mac OS, Windows, Linux)",How would you describe your skill level with the following?-Backing up data,How would you describe your skill level with the following?-Banner,How would you describe your skill level with the following?-Protecting your identity and reputation online,"How would you describe your skill level with the following?-Banner related ancillary systems (Argos, Workflow, Degreeworks, Xtender)",How interested are you in learning more about the following?-MyFramingham,How interested are you in learning more about the following?-Blackboard Learn,How interested are you in learning more about the following?-Technology in meeting spaces/classrooms,How interested are you in learning more about the following?-Word processing software,How interested are you in learning more about the following?-Spreadsheet software,"How interested are you in learning more about the following?-Presentation software (e.g. PowerPoint, Prezi)","How interested are you in learning more about the following?-Graphics software (e.g. Photoshop, Elements)","How interested are you in learning more about the following?-Your primary Operating System (e.g. Mac OS, Windows, Linux)",How interested are you in learning more about the following?-Backing up data,How interested are you in learning more about the following?-Avoiding computer problems,How interested are you in learning more about the following?-Solving computer problems,How interested are you in learning more about the following?-Protecting your identity and reputation online,How interested are you in learning more about the following?-Banner,"How interested are you in learning more about the following?-Banner related ancillary systems (Argos, Workflow, Degreeworks, Xtender)",How interested are you in learning new technical or research skills by the following methods?-One-on-one instruction,How interested are you in learning new technical or research skills by the following methods?-Workshop/Training Session,How interested are you in learning new technical or research skills by the following methods?-Self-directed with documentation,How interested are you in learning new technical or research skills by the following methods?-Self-directed with online tutorial,How interested are you in learning new technical or research skills by the following methods?-Trial and error,"In this section we will ask some information about you including age, gender, and race. The prima...",What year did you begin at Framingham State?,Are you considered a full-time employee of Framingham State for at least nine months of the curre...,Which of the following best describes your job?,What is your gender?,What is your gender?-TEXT,What is your age?,What is your race? (Please check all that apply)-White,What is your race? (Please check all that apply)-Black or African American,What is your race? (Please check all that apply)-Asian,What is your race? (Please check all that apply)-American Indian or Alaska Native,What is your race? (Please check all that apply)-Native Hawaiian or Other Pacific Islander,What is your race? (Please check all that apply)-Other,"Are you of Hispanic, Latino, or Spanish origin?",Do you have any additional comments or suggestions?
2/8/2018 8:19,2/8/2018 8:27,1,2,2,1,1,1,1,1,1,1,1,5,5,5,5,5,2,2,1,5,5,1,1,2,2,2,2,4,1,1,1,1,2,2,2,4,1,4,4,4,4,4,4,4,4,2,2,1,1,3,4,2,4,4,9,9,3,3,3,3,9,9,9,9,9,9,4,4,9,9,3,3,3,3,3,3,2,2,3,9,4,9,3,3,9,3,3,3,2,3,2,2,3,3,3,3,3,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,2,1,4,4,4,3,2,3,3,3,1,1,1,4,4,4,4,4,3,3,3,2,4,4,2,4,1,1,2,1,2001,1,1,1,,42.5,1,0,0,0,0,0,0,
2/8/2018 8:20,2/8/2018 8:28,1,2,2,2,2,1,1,1,2,1,1,5,5,5,1,2,3,2,1,1,1,1,1,3,3,3,2,1,1,1,1,1,3,3,3,3,1,4,4,3,4,4,4,3,3,3,3,2,1,2,3,2,2,1,9,9,4,4,4,4,9,9,9,9,3,3,3,2,9,9,3,3,4,4,4,4,9,2,4,4,4,9,3,4,9,9,9,2,2,2,2,2,2,3,3,3,3,3,4,4,3,4,4,4,4,9,9,9,9,9,9,9,9,4,4,3,4,3,3,3,3,3,2,3,2,3,3,4,3,3,2,3,1,2,2,2,3,3,3,2,2,2,2,2,3,2,2,2,3,3,3,1,1,2010,1,4,2,,32.5,1,0,0,0,0,0,0,
2/8/2018 8:19,2/8/2018 8:28,1,1,3,-99,2,1,1,1,2,1,2,5,5,5,5,2,5,2,1,5,5,1,1,4,9,3,3,4,1,1,1,1,3,3,4,4,2,4,4,4,4,3,3,4,3,4,4,1,1,4,4,1,4,4,1,1,3,3,3,2,9,9,9,9,3,3,3,2,9,3,3,2,3,3,2,3,4,3,4,3,1,9,3,3,9,3,3,2,1,2,2,2,2,2,2,1,2,4,1,3,3,4,2,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,4,4,1,4,4,4,3,4,5,4,5,1,1,1,1,1,2,2,2,2,2,3,4,3,3,3,1,3,3,1,1,1994,1,4,2,,52.5,1,0,0,0,0,0,0,
2/8/2018 8:21,2/8/2018 8:32,1,1,1,1,1,-99,1,1,1,1,1,5,5,5,-99,1,3,2,1,5,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,1,4,4,4,4,4,4,3,3,4,4,3,2,4,4,2,4,1,9,9,9,9,9,4,4,4,-99,4,4,4,4,4,4,9,4,4,4,4,4,4,9,4,4,4,4,4,4,4,4,4,9,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,4,3,4,4,4,3,4,1,3,1,1,1,1,1,3,3,3,3,3,3,3,1,3,3,3,3,3,1,1994,1,2,2,,57.5,1,0,0,0,0,0,0,
2/8/2018 8:27,2/8/2018 8:33,1,1,2,2,2,3,1,1,2,2,2,5,5,5,1,2,5,3,3,5,5,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,4,4,4,4,9,9,3,3,9,3,3,3,4,9,4,4,4,4,4,4,4,4,4,4,4,4,9,4,4,4,4,4,4,4,4,4,4,2,2,2,1,1,4,2,1,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,3,1,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,1,1995,1,1,1,,52.5,1,0,0,0,0,0,0,
2/8/2018 8:26,2/8/2018 8:36,1,1,3,2,2,1,2,1,4,1,2,5,5,5,5,4,5,3,1,5,5,9,9,3,3,2,3,3,9,9,9,9,3,3,3,3,2,3,3,3,3,3,3,3,2,3,3,3,9,3,3,9,4,4,9,9,4,4,3,4,9,9,9,9,4,4,4,4,9,4,3,3,3,4,4,4,4,4,4,4,4,9,4,4,9,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,4,4,4,4,3,1,3,1,4,3,3,4,3,3,4,3,2,1,2,2,3,3,3,2,2,2,3,3,4,4,3,3,3,3,3,1,2017,2,1,1,,37.5,1,0,0,0,0,0,0,
2/8/2018 8:22,2/8/2018 8:41,1,1,2,2,3,1,1,1,2,1,1,2,2,5,1,2,5,3,1,5,5,1,1,2,2,3,3,4,1,1,1,1,3,3,4,3,3,4,4,4,4,4,4,3,3,3,4,4,1,4,4,2,4,4,9,9,4,4,4,4,9,9,9,9,4,4,3,4,9,3,3,3,3,4,4,4,9,4,4,4,4,9,4,4,9,4,4,3,3,3,3,3,2,2,2,2,3,4,4,3,3,4,4,3,3,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,1,3,1,4,3,3,3,3,4,3,3,3,2,2,3,3,3,3,1,2,4,3,4,3,1,1,1,1,1,1,1,2004,1,1,1,,62.5,1,0,0,0,0,0,0,Take some action when this survey is concluded. /  / Clever to use individual's name when requesting completion of survey.
2/8/2018 8:19,2/8/2018 8:41,1,1,1,1,1,1,2,1,2,1,1,5,5,5,1,2,4,2,2,1,1,9,9,3,3,1,2,3,2,2,2,1,2,2,2,3,2,4,4,4,4,4,4,1,2,2,2,2,2,3,3,2,9,9,9,9,3,3,9,3,3,9,3,9,3,3,3,3,9,9,3,2,3,3,3,3,9,9,3,3,3,3,3,3,3,9,9,3,3,3,3,3,3,3,1,2,2,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,3,1,5,5,5,4,5,1,5,1,2,1,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,1,1,2017,1,3,2,,27.5,1,0,0,0,0,0,0,
2/8/2018 8:36,2/8/2018 8:42,1,2,3,2,2,1,1,1,3,1,1,5,5,5,5,3,4,3,2,5,5,2,2,3,3,3,2,2,1,1,1,1,4,4,4,-99,2,4,4,4,4,4,4,4,4,4,4,3,2,3,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2015,1,1,2,,27.5,1,0,0,0,0,0,0,
