V8,V9,V10,USE_CMS,USE_LRS,USE_OLC,USE_LSG,USE_LC,USE_LEC,USE_ILL,USE_LDB,USE_FPC,USE_CCL,USE_PCL,USE_PCR,USE_QWSL,USE_GSSL,USE_WALC,USE_AORO,USE_ERPSS,USE_CWS,USE_LWS,IMP_CMS,IMP_LRS,IMP_LIAC,IMP_OLC,IMP_LSG,IMP_LC,IMP_LEC,IMP_ILL,IMP_LDB,IMP_FPC,IMP_CFCPS,IMP_SICP,IMP_SDCP,IMP_CCL,IMP_PCL,IMP_LCS,IMP_PCR,IMP_QWSL,IMP_GSSL,IMP_PCIL,IMP_FPML,IMP_AWAC,IMP_PWAC,IMP_AORO,IMP_ERPSS,IMP_SERPP,IMP_CWS,IMP_LWS,IMP_ICDA,IMP_ILDA,IMP_OCS,IMP_OLS,DS_CMS,DS_CMSS,DS_LRS,DS_LIAC,DS_OLC,DS_LSG,DS_LC,DS_LEC,DS_ILL,DS_LDB,DS_FPC,DS_CFCPS,DS_SICP,DS_SDCP,DS_CCL,DS_PCL,DS_LCS,DS_PCR,DS_QWSL,DS_GSSL,DS_PCIL,DS_FPML,DS_AWAC,DS_PWAC,DS_AORO,DS_ERPSS,DS_SERPP,DS_CWS,DS_LWS,DS_OCS,DS_OLS,AAG_PDLC,AAG_LS,AAG_WL,AAG_TUC,INF_ATS,INF_ALS,INF_PI,INF_CDCN,INF_CERPS,INF_CLN,INF_SSD,DAHD_F,DAHD_K,DAHD_RL,DAHD_RS,DALC_F,DALC_K,DALC_RL,DALC_RS,DALR_F,DALR_K,DALR_RL,DALR_RS,UAP_IOUC,UAP_MDC,UAP_OQ,UAP_SLR,UAP_TESP,OWN_DC,OWN_LC,OWN_PDA,OWN_EBR,OWN_VGP,OWN_T,OS_1,OS_2,OS_3,OS_4,LRN_ERP,LRN_CMS,LRN_TMS,LRN_LDB,LRN_PP,LRN_V,LRN_OS,LRN_PIRO,LRN_DDV,LRN_OOO,LRN_WTS,LRN_SDD,LRN_SDOT,LRN_TE,Q23,YEAR,ADIV,AGE,SEX,SEX_TEXT,RACE5_1,RACE5_2,RACE5_3,RACE5_4,RACE5_5,RACE5_6,HISP,INTER,COMMENT
StartDate,EndDate,Finished,"Over the course of a semester, on average, how often do you use the following services?-Blackboard Learn","Over the course of a semester, on average, how often do you use the following services?-Library reference/research services","Over the course of a semester, on average, how often do you use the following services?-Minuteman online library catalog","Over the course of a semester, on average, how often do you use the following services?-Library subject guide/Lib guides","Over the course of a semester, on average, how often do you use the following services?-Physical library collections","Over the course of a semester, on average, how often do you use the following services?-Library e-book collections","Over the course of a semester, on average, how often do you use the following services?-Interlibrary loan","Over the course of a semester, on average, how often do you use the following services?-Library databases (e.g. JSTOR)","Over the course of a semester, on average, how often do you use the following services?-Technology Resource Center (Helpdesk)","Over the course of a semester, on average, how often do you use the following services?-Campus computing labs","Over the course of a semester, on average, how often do you use the following services?-Public computers in the library","Over the course of a semester, on average, how often do you use the following services?-Physical course reserves","Over the course of a semester, on average, how often do you use the following services?-Quiet work space in the library","Over the course of a semester, on average, how often do you use the following services?-Group study spaces in the library","Over the course of a semester, on average, how often do you use the following services?-Wireless access to the Internet on campus","Over the course of a semester, on average, how often do you use the following services?-Access to online resources from off-campus","Over the course of a semester, on average, how often do you use the following services?-MyFramingham","Over the course of a semester, on average, how often do you use the following services?-ITS Web site","Over the course of a semester, on average, how often do you use the following services?-Library Web site (e.g. library hours, policies)",How important are these services to you?-Blackboard Learn,How important are these services to you?-Library reference/research services,How important are these services to you?-Library research instruction for academic courses,How important are these services to you?-Minuteman online library catalog,How important are these services to you?-Library subject guide/Lib guides,How important are these services to you?-Physical library collections,How important are these services to you?-Library e-book collections,How important are these services to you?-Interlibrary loan,How important are these services to you?-Library databases (e.g. JSTOR),How important are these services to you?-Technology Resource Center (Helpdesk),How important are these services to you?-Technology Resource Center (Helpdesk) schedule,How important are these services to you?-Status information on computing problems,How important are these services to you?-Support when you have a desktop/laptop computing problem,How important are these services to you?-Campus computing labs,How important are these services to you?-Public computers in the library,How important are these services to you?-Library circulation services,How important are these services to you?-Physical course reserves,How important are these services to you?-Quiet work space in the library,How important are these services to you?-Group study spaces in the library,"How important are these services to you?-Physical comfort in the library (e.g. seating, lighting)",How important are these services to you?-Ease of finding physical materials in the library,How important are these services to you?-Availability of wireless access on campus,How important are these services to you?-Performance of wireless access on campus,How important are these services to you?-Access to online resources from off-campus,How important are these services to you?-MyFramingham,How important are these services to you?-Support when you have a MyFramingham  problem,How important are these services to you?-ITS Web site,"How important are these services to you?-Library Web site (e.g. library hours, policies)",How important are these services to you?-Your input into computing decisions that affect you,How important are these services to you?-Your input into library decisions that affect you,How important are these services to you?-Overall computing service,How important are these services to you?-Overall library service,How dissatisfied or satisfied are you with the following resources and services?-Blackboard Learn,How dissatisfied or satisfied are you with the following resources and services?-Blackboard Learn support,How dissatisfied or satisfied are you with the following resources and services?-Library reference/research services,How dissatisfied or satisfied are you with the following resources and services?-Library research instruction for academic courses,How dissatisfied or satisfied are you with the following resources and services?-Minuteman online library catalog,How dissatisfied or satisfied are you with the following resources and services?-Library subject guide/Lib guides,How dissatisfied or satisfied are you with the following resources and services?-Physical library collections,How dissatisfied or satisfied are you with the following resources and services?-Library e-book collections,How dissatisfied or satisfied are you with the following resources and services?-Interlibrary loan,How dissatisfied or satisfied are you with the following resources and services?-Library databases (e.g. JSTOR),How dissatisfied or satisfied are you with the following resources and services?-Technology Resource Center (Helpdesk),How dissatisfied or satisfied are you with the following resources and services?-Technology Resource Center (Helpdesk) schedule,How dissatisfied or satisfied are you with the following resources and services?-Status information on computing problems,How dissatisfied or satisfied are you with the following resources and services?-Support when you have a desktop/laptop computing problem,How dissatisfied or satisfied are you with the following resources and services?-Campus computing labs,How dissatisfied or satisfied are you with the following resources and services?-Public computers in the library,How dissatisfied or satisfied are you with the following resources and services?-Library circulation services,How dissatisfied or satisfied are you with the following resources and services?-Physical course reserves,How dissatisfied or satisfied are you with the following resources and services?-Quiet work space in the library,How dissatisfied or satisfied are you with the following resources and services?-Group study spaces in the library,"How dissatisfied or satisfied are you with the following resources and services?-Physical comfort in the library (e.g. seating, lighting)",How dissatisfied or satisfied are you with the following resources and services?-Ease of finding physical materials in the library,How dissatisfied or satisfied are you with the following resources and services?-Availability of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services?-Performance of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services?-Access to online resources from off-campus,How dissatisfied or satisfied are you with the following resources and services?-MyFramingham,How dissatisfied or satisfied are you with the following resources and services?-Support when you have a MyFramingham  problem,How dissatisfied or satisfied are you with the following resources and services?-ITS Web site,"How dissatisfied or satisfied are you with the following resources and services?-Library Web site (e.g. library hours, policies)",How dissatisfied or satisfied are you with the following resources and services?-Overall computing service,How dissatisfied or satisfied are you with the following resources and services?-Overall library service,How much do the following contribute to the achievement of your academic goals?-Physical and digital library collections,How much do the following contribute to the achievement of your academic goals?-Library spaces,How much do the following contribute to the achievement of your academic goals?-Working with librarians,How much do the following contribute to the achievement of your academic goals?-Technology used in courses and classrooms,How informed do you feel you are about the following?-Available technology services,How informed do you feel you are about the following?-Available library services,How informed do you feel you are about the following?-Privacy issues related to technology,How informed do you feel you are about the following?-Who to contact for your desktop/laptop computing needs,How informed do you feel you are about the following?-Who to contact for your MyFramingham  needs,How informed do you feel you are about the following?-Who to contact for your library needs,How informed do you feel you are about the following?-Scheduled system downtime,How strongly do you disagree or agree with the following statements with regard to the Technology...-Friendly,How strongly do you disagree or agree with the following statements with regard to the Technology...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the Technology...-Reliable,How strongly do you disagree or agree with the following statements with regard to the Technology...-Responsive,How strongly do you disagree or agree with the following statements with regard to the library circu...-Friendly,How strongly do you disagree or agree with the following statements with regard to the library circu...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the library circu...-Reliable,How strongly do you disagree or agree with the following statements with regard to the library circu...-Responsive,How strongly do you disagree or agree with the following statements with regard to the library re...-Friendly,How strongly do you disagree or agree with the following statements with regard to the library re...-Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the library re...-Reliable,How strongly do you disagree or agree with the following statements with regard to the library re...-Responsive,Do you use the following tools for academic purposes?-Instructor-organized use of computers in the classroom,Do you use the following tools for academic purposes?-Mobile devices in the classroom,Do you use the following tools for academic purposes?-Online quizzes,Do you use the following tools for academic purposes?-Library research,Do you use the following tools for academic purposes?-Technology-enhanced presentations,Do you personally own the following devices?-Desktop computer,Do you personally own the following devices?-Laptop/Notebook computer,"Do you personally own the following devices?-Smart phone (e.g. Android, iPhone, Windows phone)","Do you personally own the following devices?-E-book reader (e.g. Kindle, nook)","Do you personally own the following devices?-Video game player (e.g.Xbox, PlayStation, Wii)","Do you personally own the following devices?-Tablet (e.g. iPad, GalaxyTab, Kindle Fire)","If you have a computer with you, what operating system(s) do you have?-Windows","If you have a computer with you, what operating system(s) do you have?-MacOS","If you have a computer with you, what operating system(s) do you have?-Linux","If you have a computer with you, what operating system(s) do you have?-Other",How interested are you in learning more about the following?-MyFramingham,How interested are you in learning more about the following?-Blackboard Learn,How interested are you in learning more about the following?-Technology in meeting spaces/classrooms,How interested are you in learning more about the following?-Library databases (e.g. JSTOR),"How interested are you in learning more about the following?-Presentation software (e.g. PowerPoint, Prezi)","How interested are you in learning more about the following?-Audio/video editing software (e.g. iMovie, Premiere)","How interested are you in learning more about the following?-Your primary Operating System (e.g. Mac OS, Windows, Linux)",How interested are you in learning more about the following?-Protecting your identity and reputation online,"How interested are you in learning more about the following?-Data display/visualization (e.g. charts, graphs)",How interested are you in learning new technical or research skills by the following methods?-One-on-one instruction,How interested are you in learning new technical or research skills by the following methods?-Workshop/Training Session,How interested are you in learning new technical or research skills by the following methods?-Self-directed with documentation,How interested are you in learning new technical or research skills by the following methods?-Self-directed with online tutorial,How interested are you in learning new technical or research skills by the following methods?-Trial and error,"In this section we will ask some information about you including age, gender, and race. The prima...",What is your expected year of graduation?,What is your primary academic division?,What is your age?,What is your gender?,What is your gender?-TEXT,What is your race? (Please check all that apply)-White,What is your race? (Please check all that apply)-Black or African American,What is your race? (Please check all that apply)-Asian,What is your race? (Please check all that apply)-American Indian or Alaska Native,What is your race? (Please check all that apply)-Native Hawaiian or Other Pacific Islander,What is your race? (Please check all that apply)-Other,"Are you of Hispanic, Latino, or Spanish origin?",Are you an international student or foreign national?,Do you have any additional comments or suggestions?
1/12/2018 12:54,1/12/2018 12:57,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/2018 8:17,2/8/2018 8:24,1,5,3,1,1,1,4,1,4,2,4,4,1,4,3,5,4,5,2,1,4,4,2,2,2,1,1,2,4,4,4,4,4,4,4,3,9,4,4,4,9,4,4,2,4,4,3,1,3,3,3,3,4,3,3,9,9,9,9,3,9,3,4,9,3,4,4,4,4,4,4,4,3,9,2,2,3,4,2,9,9,2,3,3,4,9,4,3,3,1,3,3,3,3,4,4,4,4,4,3,4,4,1,2,2,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2018,45700,22,1,,1,0,0,0,0,0,0,0,
2/8/2018 8:19,2/8/2018 8:29,1,5,2,2,2,1,2,1,1,2,1,3,1,2,2,5,5,5,1,3,4,3,3,3,3,2,3,2,2,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,2,4,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,-99,1,1,1,1,0,0,4,4,4,4,4,3,4,4,3,4,3,3,3,3,1,2018,52200,22,2,,1,0,0,0,0,0,0,0,
2/8/2018 8:23,2/8/2018 8:34,1,5,3,3,2,3,1,2,3,1,1,1,1,5,1,5,4,3,1,3,4,4,2,4,2,3,1,3,4,3,2,2,4,2,2,4,9,4,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,4,3,3,4,3,3,4,3,2,4,2,3,2,3,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,2,2,2,3,3,3,3,4,3,2,2,3,3,2,1,2019,20100,20,1,,1,0,0,0,0,0,0,0,
2/8/2018 8:32,2/8/2018 8:40,1,5,4,3,1,2,2,3,5,1,1,2,1,4,3,5,5,4,1,2,4,4,3,4,2,2,3,4,4,2,2,9,3,2,3,2,1,4,3,4,3,4,4,4,3,3,2,2,9,9,4,4,4,9,3,9,3,9,3,3,4,3,9,9,9,3,3,3,9,9,4,4,3,2,3,2,4,3,3,9,1,3,3,4,3,2,4,2,2,2,3,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,2,3,4,2,2,2,4,3,4,4,4,4,2,1,2018,52200,21,1,,1,0,0,0,0,0,0,0,
2/8/2018 8:27,2/8/2018 8:43,1,4,3,2,2,2,1,2,2,2,4,4,2,3,1,5,4,4,2,2,4,3,3,3,2,2,2,3,3,3,3,4,4,4,4,3,2,4,2,4,4,4,4,4,4,4,3,3,3,3,3,4,3,3,4,4,3,4,4,4,4,4,4,4,4,4,4,2,3,3,3,3,3,4,3,2,4,4,4,3,4,4,4,4,4,3,4,2,3,1,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,0,1,1,0,0,1,0,0,0,1,3,3,2,2,3,3,3,3,3,3,3,3,-99,3,1,2020,52200,23,3,A helicopter,0,0,0,0,0,1,1,0,
2/8/2018 8:32,2/8/2018 8:51,1,5,2,2,2,2,2,2,2,3,3,1,1,4,3,5,5,5,3,1,4,2,2,2,2,2,2,1,1,3,1,1,2,3,1,1,1,4,4,4,2,4,4,4,4,4,2,1,2,2,3,2,4,4,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,9,4,4,4,3,4,2,3,4,4,4,9,4,4,2,4,1,4,4,2,1,4,4,2,3,4,4,4,4,4,2,3,4,4,4,4,4,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,4,4,4,1,1,4,3,3,2,4,2,1,1,1,1,2020,45700,20,2,,1,0,0,1,0,0,0,0,
2/8/2018 8:58,2/8/2018 9:05,1,5,1,3,1,1,3,1,3,1,3,2,1,4,2,5,5,5,2,2,4,2,2,3,3,3,4,3,4,3,2,2,3,2,2,3,3,4,3,4,4,4,4,4,4,4,3,2,2,2,2,3,4,9,9,9,4,9,4,4,9,4,9,9,9,4,4,4,4,9,4,4,4,4,2,1,4,4,4,4,4,4,4,3,4,3,4,2,2,3,3,3,3,3,9,9,9,9,4,4,4,4,9,9,9,9,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2021,20100,19,1,,1,0,0,0,0,0,0,0,
2/8/2018 9:02,2/8/2018 9:10,1,4,1,1,1,2,1,1,1,3,2,2,1,1,2,5,4,5,1,1,4,1,2,1,1,1,1,1,1,4,4,3,4,3,3,2,2,3,4,4,2,4,4,4,4,4,3,2,3,2,3,3,4,3,3,3,3,3,3,3,3,3,4,4,3,4,4,4,3,3,4,4,4,3,4,3,3,4,3,3,3,4,3,2,2,1,4,4,3,2,4,3,1,4,4,4,4,4,3,4,3,2,3,4,3,2,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2020,45700,19,1,,1,0,0,0,0,0,0,0,
