StartDate,EndDate,,,,,,,,,,,,,,DistributionChannel,UserLanguage,USE_CMS,USE_LRS,USE_OLC,USE_LDL,USE_LSG,USE_LC,USE_LEC,USE_ILL,USE_LDB,USE_DIC,USE_FPC,USE_CCL,USE_HSE,USE_PCR,USE_QWSL,USE_GSSL,USE_AORO,USE_ERPSS,USE_CWS,USE_LWS,IMP_CMS,IMP_CMSS,IMP_LRS,IMP_LIAC,IMP_OLC,IMP_LDL,IMP_LSG,IMP_LC,IMP_LEC,IMP_ILL,IMP_LDB,IMP_DIC,IMP_FPC,IMP_SICP,IMP_SDCP,IMP_CCL,IMP_HSE,IMP_LCS,IMP_PCR,IMP_QWSL,IMP_GSSL,IMP_PCIL,IMP_FPML,IMP_AWAC,IMP_PWAC,IMP_EMSF,IMP_AORO,IMP_ERPSS,IMP_SERPP,IMP_CWS,IMP_LWS,IMP_OCS,IMP_OLS,DS_CMS,DS_CMSS,DS_LRS,DS_LIAC,DS_OLC,DS_LDL,DS_LSG,DS_LC,DS_LEC,DS_ILL,DS_LDB,DS_DIC,DS_FPC,DS_SICP,DS_SDCP,DS_CCL,DS_HSE,DS_LCS,DS_PCR,DS_QWSL,DS_GSSL,DS_PCIL,DS_FPML,DS_AWAC,DS_PWAC,DS_EMSF,DS_AORO,DS_ERPSS,DS_SERPP,DS_CWS,DS_LWS,DS_OCS,DS_OLS,AAG_PDLC,AAG_LS,AAG_WL,AAG_TUC,INF_ATS,INF_ALS,DAHD_F,DAHD_K,DAHD_RL,DAHD_RS,DALC_F,DALC_K,DALC_RL,DALC_RS,DALR_F,DALR_K,DALR_RL,DALR_RS,UAP_IOUC,UAP_MDC,UAP_OQ,UAP_SLR,UAP_TESP,OWN_DC,OWN_LC,OWN_PDA,OWN_EBR,OWN_VGP,OWN_T,OS_1,OS_2,OS_3,OS_4,LRN_ERP,LRN_CMS,LRN_TMS,LRN_PIRO,LRN_IFE,LRN_OOO,LRN_WTS,LRN_SDD,LRN_SDOT,LRN_TE,YEAR,ADIV,SEX,SEX_18_TEXT,AGE,RACE5_1,RACE5_2,RACE5_3,RACE5_4,RACE5_5,RACE5_6,HISP,INTER,COMMENT
Start Date,End Date,,,,,,,,,,,,,,Distribution Channel,User Language,"Over the course of a semester, on average, how often do you use the following services? - Blackboard Learn","Over the course of a semester, on average, how often do you use the following services? - Library reference/research services","Over the course of a semester, on average, how often do you use the following services? - Minuteman online library catalog","Over the course of a semester, on average, how often do you use the following services? - Ram Search","Over the course of a semester, on average, how often do you use the following services? - Library subject guide / Lib guides","Over the course of a semester, on average, how often do you use the following services? - Physical library collections","Over the course of a semester, on average, how often do you use the following services? - Library e-book collections","Over the course of a semester, on average, how often do you use the following services? - Interlibrary loan","Over the course of a semester, on average, how often do you use the following services? - Library databases (e.g. JSTOR)","Over the course of a semester, on average, how often do you use the following services? - Digital image collections (e.g. ARTstor, Library streaming video collections (e.g. Kanopy))","Over the course of a semester, on average, how often do you use the following services? - Technology Resource Center (Helpdesk)","Over the course of a semester, on average, how often do you use the following services? - Campus computing labs","Over the course of a semester, on average, how often do you use the following services? - Apporto and Adobe","Over the course of a semester, on average, how often do you use the following services? - Physical course reserves","Over the course of a semester, on average, how often do you use the following services? - Quiet work space in the library","Over the course of a semester, on average, how often do you use the following services? - Group study spaces in the library","Over the course of a semester, on average, how often do you use the following services? - Access to online resources from off-campus","Over the course of a semester, on average, how often do you use the following services? - MyFramingham","Over the course of a semester, on average, how often do you use the following services? - ITS Online information and self-service","Over the course of a semester, on average, how often do you use the following services? - Library Web site (e.g. library hours, policies)",How important are these services to you? - Blackboard Learn,How important are these services to you? - Blackboard Learn support,How important are these services to you? - Library reference/research services,How important are these services to you? - Library research instruction for academic courses,How important are these services to you? - Minuteman online library catalog,How important are these services to you? - Ram Search,How important are these services to you? - Library subject guide / Lib guides,How important are these services to you? - Physical library collections,How important are these services to you? - Library e-book collections,How important are these services to you? - Interlibrary loan,How important are these services to you? - Library databases (e.g. JSTOR),"How important are these services to you? - Digital image collections (e.g. ARTstor, Library streaming video collections (e.g. Kanopy))",How important are these services to you? - Technology Resource Center (Helpdesk),How important are these services to you? - Status information on computing problems,How important are these services to you? - Support when you have a desktop/laptop computing problem,How important are these services to you? - Campus computing labs,How important are these services to you? - Apporto and Adobe,How important are these services to you? - Library circulation services,How important are these services to you? - Physical course reserves,How important are these services to you? - Quiet work space in the library,How important are these services to you? - Group study spaces in the library,"How important are these services to you? - Physical comfort in the library (e.g. seating, lighting)",How important are these services to you? - Ease of finding physical materials in the library,How important are these services to you? - Availability of wireless access on campus,How important are these services to you? - Performance of wireless access on campus,How important are these services to you? - E-mail SPAM filtering,How important are these services to you? - Access to online resources from off-campus,How important are these services to you? - MyFramingham,How important are these services to you? - Support when you have an MyFramingham problem,How important are these services to you? - ITS Online information and self-service,"How important are these services to you? - Library Web site (e.g. library hours, policies)",How important are these services to you? - Overall computing service,How important are these services to you? - Overall library service,How dissatisfied or satisfied are you with the following resources and services? - Blackboard Learn,How dissatisfied or satisfied are you with the following resources and services? - Blackboard Learn support,How dissatisfied or satisfied are you with the following resources and services? - Library reference/research services,How dissatisfied or satisfied are you with the following resources and services? - Library research instruction for academic courses,How dissatisfied or satisfied are you with the following resources and services? - Minuteman online library catalog,How dissatisfied or satisfied are you with the following resources and services? - Ram Search,How dissatisfied or satisfied are you with the following resources and services? - Library subject guide / Lib guides,How dissatisfied or satisfied are you with the following resources and services? - Physical library collections,How dissatisfied or satisfied are you with the following resources and services? - Library e-book collections,How dissatisfied or satisfied are you with the following resources and services? - Interlibrary loan,How dissatisfied or satisfied are you with the following resources and services? - Library databases (e.g. JSTOR),"How dissatisfied or satisfied are you with the following resources and services? - Digital image collections (e.g. ARTstor, Library streaming video collections (e.g. Kanopy))",How dissatisfied or satisfied are you with the following resources and services? - Technology Resource Center (Helpdesk),How dissatisfied or satisfied are you with the following resources and services? - Status information on computing problems,How dissatisfied or satisfied are you with the following resources and services? - Support when you have a desktop/laptop computing problem,How dissatisfied or satisfied are you with the following resources and services? - Campus computing labs,How dissatisfied or satisfied are you with the following resources and services? - Apporto and Adobe,How dissatisfied or satisfied are you with the following resources and services? - Library circulation services,How dissatisfied or satisfied are you with the following resources and services? - Physical course reserves,How dissatisfied or satisfied are you with the following resources and services? - Quiet work space in the library,How dissatisfied or satisfied are you with the following resources and services? - Group study spaces in the library,"How dissatisfied or satisfied are you with the following resources and services? - Physical comfort in the library (e.g. seating, lighting)",How dissatisfied or satisfied are you with the following resources and services? - Ease of finding physical materials in the library,How dissatisfied or satisfied are you with the following resources and services? - Availability of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services? - Performance of wireless access on campus,How dissatisfied or satisfied are you with the following resources and services? - E-mail SPAM filtering,How dissatisfied or satisfied are you with the following resources and services? - Access to online resources from off-campus,How dissatisfied or satisfied are you with the following resources and services? - MyFramingham,How dissatisfied or satisfied are you with the following resources and services? - Support when you have an MyFramingham problem,How dissatisfied or satisfied are you with the following resources and services? - ITS Online information and self-service,"How dissatisfied or satisfied are you with the following resources and services? - Library Web site (e.g. library hours, policies)",How dissatisfied or satisfied are you with the following resources and services? - Overall computing service,How dissatisfied or satisfied are you with the following resources and services? - Overall library service,How much do the following contribute to the achievement of your academic goals? - Physical and digital library collections,How much do the following contribute to the achievement of your academic goals? - Library spaces,How much do the following contribute to the achievement of your academic goals? - Working with librarians,How much do the following contribute to the achievement of your academic goals? - Technology used in courses and classrooms,How informed do you feel you are about the following? - Available technology services,How informed do you feel you are about the following? - Available library services,How strongly do you disagree or agree with the following statements with regard to the Technology Resource Center (Helpdesk) staff? - Friendly,How strongly do you disagree or agree with the following statements with regard to the Technology Resource Center (Helpdesk) staff? - Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the Technology Resource Center (Helpdesk) staff? - Reliable,How strongly do you disagree or agree with the following statements with regard to the Technology Resource Center (Helpdesk) staff? - Responsive,How strongly do you disagree or agree with the following statements with regard to the library circulation staff? - Friendly,How strongly do you disagree or agree with the following statements with regard to the library circulation staff? - Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the library circulation staff? - Reliable,How strongly do you disagree or agree with the following statements with regard to the library circulation staff? - Responsive,How strongly do you disagree or agree with the following statements with regard to the library reference/research staff? - Friendly,How strongly do you disagree or agree with the following statements with regard to the library reference/research staff? - Knowledgeable,How strongly do you disagree or agree with the following statements with regard to the library reference/research staff? - Reliable,How strongly do you disagree or agree with the following statements with regard to the library reference/research staff? - Responsive,Do you use the following tools for academic purposes? - Instructor-organized use of computers in the classroom,Do you use the following tools for academic purposes? - Mobile devices in the classroom,Do you use the following tools for academic purposes? - Online quizzes,Do you use the following tools for academic purposes? - Library research,Do you use the following tools for academic purposes? - Technology-enhanced presentations,Do you personally own the following devices? - Desktop computer,Do you personally own the following devices? - Laptop/Notebook computer,"Do you personally own the following devices? - Smart phone (e.g. Android, iPhone)","Do you personally own the following devices? - E-book reader (e.g. Kindle, NOOK)","Do you personally own the following devices? - Video game system (e.g. Xbox, PlayStation, Nintendo Switch)","Do you personally own the following devices? - Tablet (e.g. iPad, Kindle Fire)","If you have a computer with you, what operating system(s) do you have? - Windows","If you have a computer with you, what operating system(s) do you have? - MacOS","If you have a computer with you, what operating system(s) do you have? - Linux","If you have a computer with you, what operating system(s) do you have? - Other",How interested are you in learning more about the following? - MyFramingham,How interested are you in learning more about the following? - Blackboard Learn,How interested are you in learning more about the following? - Technology in meeting spaces/classrooms,How interested are you in learning more about the following? - Protecting your identity and reputation online,How interested are you in learning more about the following? - Identifying fraudulent email messages/phishing attempts,How interested are you in learning new technical or research skills by the following methods? - One-on-one instruction,How interested are you in learning new technical or research skills by the following methods? - Workshop/Training Session,How interested are you in learning new technical or research skills by the following methods? - Self-directed with documentation,How interested are you in learning new technical or research skills by the following methods? - Self-directed with online tutorial,How interested are you in learning new technical or research skills by the following methods? - Trial and error,What is your expected year of graduation?,What is your primary academic division?,What is your gender? - Selected Choice,What is your gender? - Prefer to self-describe - Text,What is your age?,What is your race? (Please check all that apply) - RACE_W,What is your race? (Please check all that apply) - RACE_B,What is your race? (Please check all that apply) - RACE_A,What is your race? (Please check all that apply) - RACE_AI,What is your race? (Please check all that apply) - RACE_NH,What is your race? (Please check all that apply) - RACE_O,"Are you of Hispanic, Latino, or Spanish origin?",Are you an international student or foreign national?,Do you have any additional comments or suggestions?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}",,,,,,,,,,,,,,"{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_6""}","{""ImportId"":""QID1_7""}","{""ImportId"":""QID1_8""}","{""ImportId"":""QID1_9""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID1_11""}","{""ImportId"":""QID1_12""}","{""ImportId"":""QID1_13""}","{""ImportId"":""QID1_14""}","{""ImportId"":""QID1_15""}","{""ImportId"":""QID1_17""}","{""ImportId"":""QID1_79""}","{""ImportId"":""QID1_26""}","{""ImportId"":""QID1_27""}","{""ImportId"":""QID1_29""}","{""ImportId"":""QID1_38""}","{""ImportId"":""QID1_39""}","{""ImportId"":""QID1_40""}","{""ImportId"":""QID1_41""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_13""}","{""ImportId"":""QID3_14""}","{""ImportId"":""QID3_15""}","{""ImportId"":""QID3_16""}","{""ImportId"":""QID3_17""}","{""ImportId"":""QID3_18""}","{""ImportId"":""QID3_19""}","{""ImportId"":""QID3_20""}","{""ImportId"":""QID3_21""}","{""ImportId"":""QID3_23""}","{""ImportId"":""QID3_24""}","{""ImportId"":""QID3_28""}","{""ImportId"":""QID3_131""}","{""ImportId"":""QID3_36""}","{""ImportId"":""QID3_37""}","{""ImportId"":""QID3_39""}","{""ImportId"":""QID3_41""}","{""ImportId"":""QID3_42""}","{""ImportId"":""QID3_43""}","{""ImportId"":""QID3_47""}","{""ImportId"":""QID3_48""}","{""ImportId"":""QID3_51""}","{""ImportId"":""QID3_55""}","{""ImportId"":""QID3_59""}","{""ImportId"":""QID3_60""}","{""ImportId"":""QID3_61""}","{""ImportId"":""QID3_62""}","{""ImportId"":""QID3_68""}","{""ImportId"":""QID3_69""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID4_8""}","{""ImportId"":""QID4_9""}","{""ImportId"":""QID4_13""}","{""ImportId"":""QID4_14""}","{""ImportId"":""QID4_15""}","{""ImportId"":""QID4_16""}","{""ImportId"":""QID4_17""}","{""ImportId"":""QID4_18""}","{""ImportId"":""QID4_19""}","{""ImportId"":""QID4_20""}","{""ImportId"":""QID4_21""}","{""ImportId"":""QID4_23""}","{""ImportId"":""QID4_24""}","{""ImportId"":""QID4_28""}","{""ImportId"":""QID4_131""}","{""ImportId"":""QID4_36""}","{""ImportId"":""QID4_37""}","{""ImportId"":""QID4_39""}","{""ImportId"":""QID4_41""}","{""ImportId"":""QID4_42""}","{""ImportId"":""QID4_43""}","{""ImportId"":""QID4_47""}","{""ImportId"":""QID4_48""}","{""ImportId"":""QID4_51""}","{""ImportId"":""QID4_55""}","{""ImportId"":""QID4_59""}","{""ImportId"":""QID4_60""}","{""ImportId"":""QID4_61""}","{""ImportId"":""QID4_62""}","{""ImportId"":""QID4_68""}","{""ImportId"":""QID4_69""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID39_5""}","{""ImportId"":""QID39_6""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_6""}","{""ImportId"":""QID17_7""}","{""ImportId"":""QID18_1""}","{""ImportId"":""QID18_2""}","{""ImportId"":""QID18_5""}","{""ImportId"":""QID18_6""}","{""ImportId"":""QID18_11""}","{""ImportId"":""QID18_14""}","{""ImportId"":""QID19"",""choiceId"":""1""}","{""ImportId"":""QID19"",""choiceId"":""2""}","{""ImportId"":""QID19"",""choiceId"":""3""}","{""ImportId"":""QID19"",""choiceId"":""4""}","{""ImportId"":""QID21_3""}","{""ImportId"":""QID21_4""}","{""ImportId"":""QID21_5""}","{""ImportId"":""QID21_27""}","{""ImportId"":""QID21_36""}","{""ImportId"":""QID22_1""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID22_3""}","{""ImportId"":""QID22_4""}","{""ImportId"":""QID22_5""}","{""ImportId"":""QID34""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID52_7_TEXT""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31"",""choiceId"":""1""}","{""ImportId"":""QID31"",""choiceId"":""2""}","{""ImportId"":""QID31"",""choiceId"":""3""}","{""ImportId"":""QID31"",""choiceId"":""4""}","{""ImportId"":""QID31"",""choiceId"":""5""}","{""ImportId"":""QID31"",""choiceId"":""6""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID32_TEXT""}"
2/18/2021 7:39,2/18/2021 7:46,,,,,,,,,,,,,,email,EN,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,4,4,4,4,-99,-99,-99,-99,3,3,4,4,4,4,4,4,4,4,4,4,4,4,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,3,3,3,3,3,4,4,4,4,4,2022,119903,2,-99,23,1,0,0,0,0,0,0,0,-99
2/18/2021 7:49,2/18/2021 7:54,,,,,,,,,,,,,,email,EN,1,2,2,2,2,2,1,2,1,1,2,1,1,1,4,3,2,5,2,2,1,1,3,3,2,2,2,3,2,3,-99,-99,3,1,3,2,-99,3,3,4,3,4,4,4,4,4,4,4,3,3,2,2,3,3,2,4,4,4,4,4,4,-99,4,-99,-99,4,4,3,4,-99,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,4,4,1,0,1,1,1,1,1,1,0,1,0,1,0,0,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,2022,119903,2,-99,23,1,0,0,0,0,0,0,0,-99
2/18/2021 7:45,2/18/2021 7:56,,,,,,,,,,,,,,email,EN,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,4,4,1,1,2,2,2,2,2,2,2,1,3,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,3,3,2,2,1,2,2,4,4,-99,-99,-99,4,4,-99,4,4,4,-99,4,4,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,4,4,4,4,4,-99,-99,-99,-99,-99,4,2,2,4,4,4,4,-99,-99,-99,-99,-99,-99,-99,-99,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,2,2,1,1,1,1,1,3,3,1,2024,119902,2,-99,18,1,0,0,0,0,0,0,0,I have been remote since I enrolled and am a commuter student. I don’t think my answers would be the same if I had attended classes on campus. 
2/18/2021 7:48,2/18/2021 7:57,,,,,,,,,,,,,,email,EN,5,3,3,3,1,1,3,2,3,1,1,1,3,1,1,1,3,4,2,1,4,1,3,2,4,2,2,2,4,3,4,2,2,1,2,2,3,3,2,3,2,3,3,4,4,4,4,4,3,3,2,3,3,4,-99,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,4,3,4,4,4,3,3,3,3,3,3,2,1,4,2,2,4,3,3,4,3,3,3,3,-99,-99,-99,-99,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,2,2,1,1,2,1,1,3,3,4,2022,119902,1,-99,19,1,0,0,0,0,0,0,0,-99
2/18/2021 7:49,2/18/2021 7:59,,,,,,,,,,,,,,email,EN,5,3,2,3,3,1,1,1,3,4,1,1,3,1,1,1,5,4,1,4,4,2,3,3,2,3,3,2,1,1,3,4,4,4,4,3,4,3,2,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,2,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,3,4,4,4,3,1,3,3,2024,119903,1,-99,19,1,0,0,0,0,0,0,0,-99
2/18/2021 8:01,2/18/2021 8:08,,,,,,,,,,,,,,email,EN,2,4,2,2,2,2,2,1,3,1,1,1,1,1,1,1,1,2,1,1,2,2,4,4,2,4,2,1,1,1,4,1,2,1,2,1,-99,1,1,3,3,3,3,3,3,1,4,4,3,3,3,3,3,4,4,4,4,4,4,4,-99,-99,-99,4,-99,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,3,3,3,3,3,4,2,1,2,2,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1,2,1,2,2,1,1,2,2,2,2023,119903,1,-99,23,1,0,0,0,0,0,1,0,-99
2/18/2021 8:06,2/18/2021 8:11,,,,,,,,,,,,,,email,EN,5,4,1,4,4,1,4,1,4,4,1,1,1,1,1,1,4,5,2,1,4,1,3,2,1,3,3,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,-99,-99,3,3,2,2,3,4,4,3,3,-99,4,4,-99,4,-99,4,4,4,-99,4,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4,4,4,4,4,4,4,4,3,-99,-99,4,3,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,2021,119902,1,-99,20,1,0,0,0,0,0,0,0,-99
2/18/2021 8:06,2/18/2021 8:16,,,,,,,,,,,,,,email,EN,5,-99,1,1,1,1,2,1,1,1,1,2,1,1,3,2,4,3,2,2,4,2,2,4,1,1,1,3,2,1,1,1,1,1,4,2,1,1,1,3,2,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,-99,-99,-99,-99,4,4,-99,-99,-99,4,4,4,3,-99,-99,-99,4,4,4,4,4,2,4,4,2,3,-99,4,3,4,3,2,1,4,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,3,1,2,1,1,1,1,1,3,1,2023,119903,1,-99,23,1,0,0,0,0,0,0,0,-99
